product_id,title,category,store,description
P0,Men's 3X Large Carbon Heather Cotton/Polyester Rain Defender Paxton Heavyweight Hooded Zip-Front Sweatshirt,Apparel,Gul Ahmad,This heavyweight water-repellent hooded sweatshirt has a zip front for fast layering. ORIGINAL FIT. 13 oz. 75% cotton/25% polyester blend with Rain Defender durable water repellent. Attached jersey-lined three-piece hood with drawcord closure. Antique-finish brass front zipper. Two front hand-warmer pockets have a hidden security pocket inside. Stretchable spandex-reinforced rib-knit cuffs and waistband. Locker loop facilitates hanging.
P1,Turmode 30 ft. RP TNC Female to RP TNC Male Adapter Cable,Apparel,J.,If you need more length between your existing wireless device and Hi-Gain Antenna this is the product for you. It's compatible with most Wi-Fi Antennas so it is easy for you to extend your wireless network. Just replace your existing cable that runs between your wireless device and Antenna and you're ready to use your network with extended range.
P2,Large Tapestry Bolster Bed,Apparel,Khaadi,Polyester cover resembling rich Italian tapestries wraps your pet in comfort and style. 100% recycled polyester high loft MemoryFiber fill keeps pets elevated off cold floors for relief on tired joints and pressure points. A great fit for pets up to 100 lbs. Zippered removable cover is machine washable in cold water only. To dry use a delicate cycle or gentle setting with very low heat.
P3,Dawlance 1 ton AC,Electronics,AlFatah,Air conditioner
P4,PEL AC 1 Ton,Electronics,Imtiaz,Air conditioner
P5,Gree AC 1.5 ton,Electronics,PriceOye,Air conditioner
P6,Haier AC 1.5 ton,Electronics,Chez,Air conditioner
P7,Xiaomi Redmi,Mobiles,PriceOye,Xiaomi Redmi
P8,Tecno Camon,Mobiles,Mega,Tecno Camon
P9,Samsung Galaxy,Mobiles,MIStore,Samsung Galaxy
P10,Iphone 15,Mobiles,Mega,Apple Iphone 15
P11,HP Envy,Computers,Galaxy,HP Envy
P12,DELL Sec,Computers,Mega,DELL Sec
P13,Lenovo PC,Computers,Galaxy,Lenovo PC
